trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation
goat_diiscipline_ass_trail3,goat_diiscipline_ass,base_trail_weave,3,0,0.05,0.08,25,15,"[49,13,164]","[62,31,164]",0.9,200,200,30,0,1,FALSE,FALSE,TRUE,0,0,0.2,0,0,0,FALSE
goat_diiscipline_ass_trail4,goat_diiscipline_ass,trail_clc_goat,6,0,0.01,0.05,45,30,"[49,13,164]","[62,31,164]",1,20,50,15,0,0,TRUE,TRUE,TRUE,0,0,0,0,0,0,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,
goat_mjolnir_ass_trail,goat_mjolnir_ass,base_trail_heavySmoke,10,0,0.05,0.4,15,8,"[204,157,122]","[247,231,156]",0.7,200,100,20,0,0.5,TRUE,FALSE,TRUE,0,0,0.2,0,0,0,FALSE
goat_mjolnir_ass_trail1,goat_mjolnir_ass,base_trail_heavySmoke,10,0,0.05,0.008,10,10,"[236,53,17]","[236,53,17]",1,200,100,0,0,0.5,TRUE,FALSE,TRUE,0,0,0.2,0,0,0,FALSE
goat_mjolnir_ass_trail2,goat_mjolnir_ass,base_trail_heavySmoke,20,0,0.05,0.2,20,10,"[228,140,46]","[228,140,46]",1,200,100,20,0,0.5,TRUE,FALSE,TRUE,0,0,0.2,0,0,0,FALSE
goat_mjolnir_ass_trail3,goat_mjolnir_ass,base_trail_weave,3,0,0.05,0.08,35,25,"[49,13,164]","[62,31,164]",0.9,200,200,30,0,1,FALSE,FALSE,TRUE,0,0,0.2,0,0,0,FALSE
goat_mjolnir_ass_trail4,goat_mjolnir_ass,trail_clc_goat,6,0,0.01,0.05,45,30,"[49,13,164]","[62,31,164]",1,20,50,15,0,0,TRUE,TRUE,TRUE,0,0,0,0,0,0,FALSE
goat_mjolnir_ass_trail5,goat_mjolnir_ass,base_trail_weave,3,0,0.05,0.08,35,25,"[49,13,164]","[62,31,164]",0.2,200,200,30,0,1,FALSE,FALSE,TRUE,0,0,0.2,0,0,0,FALSE
goat_mjolnir_ass_trail6,goat_mjolnir_ass,base_trail_weave,3,0.1,0.05,0.1,45,15,"[228,140,46]","[228,140,46]",0.4,200,200,30,0,1,FALSE,FALSE,TRUE,0,0,0.2,0,0,0,FALSE
goat_mjolnir_ass_trail7,goat_mjolnir_ass,base_trail_weave,3,0,0.1,0,10,45,"[228,140,46]","[228,140,46]",0.4,200,200,60,0,1,FALSE,FALSE,TRUE,0,0,0.2,0,0,0,FALSE
