name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,traveldrive,number,,,,,,,,,
Silo(P),DEX_silo_p,Hacked Drone,Pirate,forgevats,20,6000,500,3400,2813,325,100,0,55,35,15,18,18,1000,FRONT,,180,0.5,1,,,15,25,80,40,2,20,8,150000,5,10,540,0.25,24,8,"CARRIER, ","pirate_bp, pirates",0.5,2,3,4,,316,,,,,,,,,
Rampart(P),DEX_rampart_p,Hacked Drone,Pirate,fortressshield,15,10000,1000,10000,5625,750,155,,40,30,20,22,10,2100,FRONT,,180,0.5,.8,,,25,30,100,60,4,15,9,160000,5,12,600,0.25,28,18,"COMBAT, ","pirate_bp, pirates",,0.5,3,4,,412,,,,,,,,,
Stockpile(P),DEX_stockpile_p,Hacked Drone,Pirate,canister_flak,10,6000,500,5000,2500,250,100,0,35,30,20,25,15,2100,FRONT,,270,0.5,.9,,,20,50,500,350,2,20,8,60000,"5
",20,480,0.25,10,8,"CIVILIAN, TANKER, FREIGHTER, ","pirate_bp, pirates",,0.5,2,4,,310,,,,,,,,,
Battlement(P),DEX_battlement_p,Hacked Drone,Pirate,fortressshield,22,15000,1500,10000,5625,550,145,0,45,20,10,12,10,4000,FRONT,,180,0.5,.8,,,30,100,1000,600,4,15,8,100000,5,12,720,0.15,30,24,"COMBAT,","pirate_bp, pirates",,2,2,3,,412,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REMNANTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost,DEX_poltergeist,Automated Phase Destroyer,Remnant,displacer,20,1250,500,10000,18000,900,155,,90,90,70,45,60,350,PHASE,phasecloak,90,,,0.05,0.05,50,100,120,150,3,50,8,300000,5,50,400,0.75,40,40,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",0.5,2,3,8,,307.5,,,,,,,,,
Lunar,DEX_unholy,Automated Battlestar,Remnant,plasmajets,50,18000,1500,30000,35250,1750,530,3,40,30,20,15,10,3500,OMNI,,360,0.4,0.6,,,0,0,250,400,10,40,8,800000,3,15,720,0.25,70,60,"CARRIER, COMBAT, UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",0.4,2,4,6,,509,,,,,,,,,
Celestial,DEX_rastral,Automated Fleet Carrier,Remnant,recalldevice,35,12000,1200,25000,25000,1100,300,6,35,25,20,15,10,3000,OMNI,,360,0.4,0.6,,,0,0,250,400,10,40,8,700000,3,15,720,0.25,50,50,"CARRIER, COMBAT, UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",0.6,2,4,6,,501,,,,,,,,,
#FIGHTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3 Payload,DEX_m3payload,Missile Bus,Explorarium,,,100,5,100,,50,5,,100,400,300,90,180,20,NONE,,0,0,0,,,1,1,0,0,1,,1,8500,25,25,,,1,1,"UNBOARDABLE, ALWAYS_PANIC",,0.5,1,3,5,,3,,,,,,,,,
Legionary,DEX_legionary,Attack Drone,Explorarium,,,300,40,300,,70,15,,200,400,300,90,180,40,NONE,,,,,,,0,0,0,0,1,,1,8500,25,25,,,1,1,UNBOARDABLE,,0.5,1,3,5,,3,,,,,,,,,
Spartan,DEX_spartan,Attack Drone,Explorarium,,,200,10,300,,70,15,,200,400,300,90,180,20,NONE,,,,,,,0,0,0,0,1,,1,8500,25,25,,,1,1,UNBOARDABLE,,0.5,1,3,5,,3,,,,,,,,,
Thunderstrike,DEX_thunderstrike,Drone Gunship,Explorarium,,,300,30,300,,70,15,,120,400,300,90,180,55,NONE,,,,,,,0,0,0,0,1,,1,8500,25,25,,,1,1,UNBOARDABLE,,0.5,1,3,5,,3,,,,,,,,,
Trojan,DEX_trojan,Drone Dropship,Explorarium,damper,,600,100,300,,70,25,1,120,400,300,90,180,55,NONE,,,,,,,0,0,0,0,1,,1,8500,25,25,,,1,1,UNBOARDABLE,,0.5,1,3,5,,3,,,,,,,,,
Skystar,DEX_skystar,Zone Control Drone,Explorarium,,,1000,200,300,,70,25,0,60,400,300,90,180,55,NONE,,,,,,,0,0,0,0,1,,1,8500,25,25,,,1,1,UNBOARDABLE,,0.5,1,3,5,,3,,,,,,,,,
Guardsman,DEX_guardsman,Dronemech,Explorarium,maneuveringjets,,400,100,300,,70,0,,140,400,300,90,180,55,NONE,,,,,,,0,0,0,0,1,,1,8500,25,25,,,1,1,UNBOARDABLE,,0.5,1,3,5,,3,,,,,,,,,
Warden Line,DEX_fighterwarden,Flash-forged Frigate,Explorarium,ammofeed,,1500,300,750,1250,100,0,,130,400,300,90,180,150,NONE,,0,0,0,,,0,0,,,,,,8500,,,,,,,UNBOARDABLE,,,0,,,,2001,,,,,,,,,
Sentry Line,DEX_fightersentry,Flash-forged Frigate,Explorarium,fastmissileracks,,1200,200,750,1250,100,15,,110,400,300,90,180,120,NONE,,0,0,0,,,0,0,20,20,1,20,9,10000,5,5,480,0.25,3,3,UNBOARDABLE,,,0.5,2,2,,225,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
