fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab
shu_auroranInterplanetaryAccessRouter,Magnetic Sensor Jammer,Header,Magnetic Sensor Jammer (Auroran Interplanetary Access Router),,Magnetic Sensor Jammer (Auroran Interplanetary Access Router),,,Custom Stats
LUNA_CM_UAF_INTERPLANETARYACCESSROUTER_FIGHTER_ENGAGEMENT_RANGE_BONUS,INTERPLANETARYACCESSROUTER_FIGHTER_ENGAGEMENT_RANGE_BONUS,Double,10,,"Increases fighter's engagement range.

[Default]: 10",0,500,Custom Stats
LUNA_CM_UAF_INTERPLANETARYACCESSROUTER_SIGHT_COMBAT_BONUS,INTERPLANETARYACCESSROUTER_SIGHT_COMBAT_BONUS,Double,50,,"Increases ship's sight radius.

[Default]: 50",0,500,Custom Stats
LUNA_CM_UAF_INTERPLANETARYACCESSROUTER_FIGHTER_TARGET_LEAD_BONUS,INTERPLANETARYACCESSROUTER_FIGHTER_TARGET_LEAD_BONUS,Double,50,,"Increases fighter's target accuracy.

[Default]: 50",0,500,Custom Stats
,,,,,,,,
shu_auroranInterplanetaryRiceCooker,Defense Focus Integrator,Header,Defense Focus Integrator (Auroran Interplanetary Rice Cooker),,Defense Focus Integrator (Auroran Interplanetary Rice Cooker),,,Custom Stats
LUNA_CM_UAF_INTERPLANETARYRICECOOKER_SMALL_MED_PD_WEAPON_REDUCTION,INTERPLANETARYRICECOOKER_SMALL_MED_PD_WEAPON_REDUCTION,Double,3,,"Reduces OP cost of small & medium PD weapons.

[Default]: 3",0,50,Custom Stats
LUNA_CM_UAF_INTERPLANETARYRICECOOKER_PD_WEAPON_DAMAGE_BONUS,INTERPLANETARYRICECOOKER_PD_WEAPON_DAMAGE_BONUS,Double,30,,"Increases damage output of all PD weapons.

[Default]: 30",0,500,Custom Stats
LUNA_CM_UAF_INTERPLANETARYRICECOOKER_DAMAGE_TO_FIGHTERS_MISSILES_BONUS,INTERPLANETARYRICECOOKER_DAMAGE_TO_FIGHTERS_MISSILES_BONUS,Double,50,,"Increases damage dealt to fighters and missiles.

[Default]: 50",0,500,Custom Stats
,,,,,,,,
,,,,,,,,
#EXTRA EFFECTS,,,,,,,,
shu_disableCorruptedNanoforgeMFHeader,Missile Forging Header,Header,Missile Forging,,Arsenal Autoforge's extra effect.,,,Extra Effects
shu_disableCorruptedNanoforgeMFToggle,Missile Forging Toggle,Boolean,False,,"Disable Arsenal Autoforge's Missile Forging.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disablePristineNanoforgeMFHeader,Missile Forging (Enhanced) Header,Header,Missile Forging (Enhanced),,Arsenal Autoforge's (Enhanced) extra effect.,,,Extra Effects
shu_disablePristineNanoforgeMFToggle,Missile Forging Toggle,Boolean,False,,"Disable Arsenal Autoforge's (Enhanced) Missile Forging.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableBiofactoryEmbryoFHHeader,Fleet Hospital Header,Header,Fleet Hospital,,Biologic Commodity Replicator's extra effect.,,,Extra Effects
shu_disableBiofactoryEmbryoFHToggle,Fleet Hospital Toggle,Boolean,False,,"Disable Biologic Commodity Replicator's Fleet Hospital.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableCombatDroneReplicatorAIRHeader,Atmospheric Invasion Refit Header,Header,Atmospheric Invasion Refit,,Expanded Fighter Manufactory's extra effect.,,,Extra Effects
shu_disableCombatDroneReplicatorAIRToggle,Atmospheric Invasion Refit Toggle,Boolean,False,,"Disable Expanded Fighter Manufactory's Atmospheric Invasion Refit.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableDealmakerHolosuiteDTUHeader,Distributed Targeting Uplink Header,Header,Distributed Targeting Uplink,,Fleet Tactical Relay's extra effect.,,,Extra Effects
shu_disableDealmakerHolosuiteDTUToggle,Distributed Targeting Uplink Toggle,Boolean,False,,"Disable Fleet Tactical Relay's Distributed Targeting Uplink.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableHypeshuntFluxDischargeHeader,Flux Discharge Header,Header,Flux Discharge,,Flux Hypershunt's extra effect.,,,Extra Effects
shu_disableHypeshuntFluxDischargeToggle,Flux Discharge Toggle,Boolean,False,,"Disable Flux Hypershunt's Flux Discharge.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableMantleBoreUVRHeader,Ultra-Velocity Rounds Header,Header,Ultra-Velocity Rounds,,High-Throttled Weapon Torque's extra effect.,,,Extra Effects
shu_disableMantleBoreUVRToggle,Ultra-Velocity Rounds Toggle,Boolean,False,,"Disable High-Throttled Weapon Torque's Ultra-Velocity Rounds.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableCatalyticCoreMRAHeader,Mobile Repair Autofactory Header,Header,Mobile Repair Autofactory,,Maintenance Optimizer's extra effect.,,,Extra Effects
shu_disableCatalyticCoreMRAToggle,Mobile Repair Autofactory Toggle,Boolean,False,,"Disable Maintenance Optimizer's Mobile Repair Autofactory.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableSoilNaniteNRepairHeader,Nano Repair Header,Header,Nano Repair,,Nanite Swarm Cluster's extra effect.,,,Extra Effects
shu_disableSoilNaniteNRepairToggle,Nano Repair Toggle,Boolean,False,,"Disable Nanite Swarm Cluster's Nano Repair.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableFullereneSpoolFTCHeader,Fullerene Tow Cable Header,Header,Fullerene Tow Cable,,Orbital Filament Anchor's extra effect.,,,Extra Effects
shu_disableFullereneSpoolFTCToggle,Fullerene Tow Cable Toggle,Boolean,False,,"Disable Orbital Filament Anchor's Fullerene Tow Cable.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disablePlasmaDynamoCAHeader,Charged Acceleration Header,Header,Charged Acceleration,,Plasma-Charged Shield Emitter's extra effect.,,,Extra Effects
shu_disablePlasmaDynamoCAToggle,Charged Acceleration Toggle,Boolean,False,,"Disable Plasma-Charged Shield Emitter's Charged Acceleration.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableCryoarithmeticEngineCFlaresHeader,Cryoflares Header,Header,Cryoflares,,Quantum Heatsink's extra effect.,,,Extra Effects
shu_disableCryoarithmeticEngineCFlaresToggle,Cryoflares Toggle,Boolean,False,,"Disable Quantum Heatsink's Cryoflares.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableSynchrotonCoreAMCHeader,AM Fuel Calibrator Header,Header,AM Fuel Calibrator,,Synchro-Fuel Loader's extra effect.,,,Extra Effects
shu_disableSynchrotonCoreAMCToggle,AM Fuel Calibrator Toggle,Boolean,False,,"Disable Synchro-Fuel Loader's AM Fuel Calibrator.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableFusionLampReactorSCHeader,Supercharged Capacitors Header,Header,Supercharged Capacitors,,Variable Fusion Capacitors's extra effect.,,,Extra Effects
shu_disableFusionLampReactorSCToggle,Supercharged Capacitors Toggle,Boolean,False,,"Disable Variable Fusion Capacitors's Supercharged Capacitors.

[Default]: False",,,Extra Effects
,,,,,,,,
#COLLAB EFFECTS,,,,,,,,
shu_collabHullmodsSFCEffectsHeader,Sindrian Fuel Company Collaboration Hullmods,Header,Sindrian Fuel Company Collaboration Hullmods,,,,,Extra Effects
shu_disableAquaticStimulatorFRBHeader,Fighter Repair Bots Header,Header,Fighter Repair Bots,,Fighter Nanoboosters' extra effect.,,,Extra Effects
shu_disableAquaticStimulatorFRBToggle,Fighter Repair Bots Toggle,Boolean,False,,"Disable Fighter Nanoboosters' Fighter Repair Bots.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableMoteMegacondenserPAHeader,Phase Anomalies Header,Header,Phase Anomalies,,P-Space Stabilizer's extra effects.,,,Extra Effects
shu_disableMoteMegacondenserPAToggle,Phase Anomalies Toggle,Boolean,False,,"Disable P-Space Stabilizer's Phase Anomalies.

[Default]: False",,,Extra Effects
shu_disableMoteMegacondenserHFMToggle,High Frequency Motes Toggle,Boolean,False,,"Disable Ziggurat's High Frequency Motes.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_collabHullmodsUAFEffectsHeader,United Auroran Federation Collaboration Hullmods,Header,United Auroran Federation Collaboration Hullmods,,,,,Extra Effects
shu_disableServosyncPumpSMHeader,Synchronized Movement Header,Header,Synchronized Movement,,Drive Field Actuator's extra effect.,,,Extra Effects
shu_disableServosyncPumpSMToggle,Synchronized Movement Toggle,Boolean,False,,"Disable Drive Field Actuator's Synchronized Movement.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableDimensionalStoveRFCHeader,Recreational Fleet Cafe Header,Header,Recreational Fleet Cafe,,Dynamic Utility System's extra effect.,,,Extra Effects
shu_disableDimensionalStoveRFCToggle,Recreational Fleet Cafe Toggle,Boolean,False,,"Disable Dynamic Utility System's Recreational Fleet Cafe.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableDimensionalNanoforgeFRSHeader,Fighter Reinforcements Subsystem Header,Header,Fighter Reinforcements Subsystem,,Fighter Autoforge's extra effect.,,,Extra Effects
shu_disableDimensionalNanoforgeFRSToggle,Fighter Reinforcements Subsystem Toggle,Boolean,False,,"Disable Fighter Autoforge's Fighter Reinforcements Subsystem.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableGarrisonTransmitterFDCHeader,Fighter Damper Conduit Header,Header,Fighter Damper Conduit,,Flight Control Transmitter's extra effect.,,,Extra Effects
shu_disableGarrisonTransmitterFDCToggle,Fighter Damper Conduit Toggle,Boolean,False,,"Disable Flight Control Transmitter's Fighter Damper Conduit.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableModularPurifierMMHeader,Maintenance Mitigator Header,Header,Maintenance Mitigator,,Logistic Analyzer's extra effect.,,,Extra Effects
shu_disableModularPurifierMMToggle,Maintenance Mitigator Toggle,Boolean,False,,"Disable Logistic Analyzer's Maintenance Mitigator.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableInterplanetaryAccessRouterFDFHeader,Flight Disruption Field Header,Header,Flight Disruption Field,,Magnetic Sensor Jammer's extra effect.,,,Extra Effects
shu_disableInterplanetaryAccessRouterFDFToggle,Flight Disruption Field Toggle,Boolean,False,,"Disable Magnetic Sensor Jammer's Flight Disruption Field.

[Default]: False",,,Extra Effects
,,,,,,,,
shu_disableInterplanetaryRiceCookerWOMHeader,Weapon Overdrive Mode Header,Header,Weapon Overdrive Mode,,Defense Focus Integrator's extra effect.,,,Extra Effects
shu_disableInterplanetaryRiceCookerWOMToggle,Weapon Overdrive Mode Toggle,Boolean,False,,"Disable Defense Focus Integrator's Weapon Overdrive Mode.

[Default]: False",,,Extra Effects
,,,,,,,,
,,,,,,,,
#INCOMPATIBILITIES,,,,,,,,
shu_NanoforgeCompatibility,Arsenal Autoforge Header,Header,Arsenal Autoforge(s),,,,,Incompatibilities
shu_disableExpandedMissileRacksIncompatibilityToggle,Incompatibility with Expanded Missile Racks,Boolean,False,,"Set to true to disable the incompatibility.

[Default]: False",,,Incompatibilities
shu_disableMissileAutoloaderIncompatibilityToggle,Incompatibility with Missile Autoloader,Boolean,False,,"Set to true to disable the incompatibility.

[Default]: False",,,Incompatibilities
,,,,,,,,
shu_DroneReplicatorCompatibility,Expanded Fighter Manufactory Header,Header,Expanded Fighter Manufactory,,,,,Incompatibilities
shu_disableExpandedDeckCrewIncompatibilityToggle,Incompatibility with Expanded Deck Crew,Boolean,False,,"Set to true to disable the incompatibility.

[Default]: False",,,Incompatibilities
,,,,,,,,
shu_HypershuntTapCompatibility,Flux Hypershunt Header,Header,Flux Hypershunt,,,,,Incompatibilities
shu_disableResistantFluxConduitsIncompatibilityToggle,Incompatibility with Resistant Flux Conduits,Boolean,False,,"Set to true to disable the incompatibility.

[Default]: False",,,Incompatibilities
,,,,,,,,
shu_CatalyticCoreCompatibility,Maintenance Optimizer Header,Header,Maintenance Optimizer,,,,,Incompatibilities
shu_disableEfficiencyOverhaulIncompatibilityToggle,Incompatibility with Efficiency Overhaul,Boolean,False,,"Set to true to disable the incompatibility.

[Default]: False",,,Incompatibilities
,,,,,,,,
shu_SoilNaniteCompatibility,Nanite Swarm Cluster Header,Header,Nanite Swarm Cluster,,,,,Incompatibilities
shu_disableAutomatedRepairUnitIncompatibilityToggle,Incompatibility with Automated Repair Unit,Boolean,False,,"Set to true to disable the incompatibility.

[Default]: False",,,Incompatibilities
,,,,,,,,
shu_FullreneSpoolCompatibility,Orbital Filament Anchor Header,Header,Orbital Filament Anchor,,,,,Incompatibilities
shu_disableSurveyingEquipmentIncompatibilityToggle,Incompatibility with Surveying Equipment,Boolean,False,,"Set to true to disable the incompatibility.

[Default]: False",,,Incompatibilities
,,,,,,,,
shu_PlasmaDynamoCompatibility,Plasma-Charged Shield Emitter Header,Header,Plasma-Charged Shield Emitter,,,,,Incompatibilities
shu_disableVanillaShieldHullmodsIncompatibilityToggle,"Incompatibility with Extended Shields, Hardened Shields, and Stabilized Shields",Boolean,False,,"Set to true to disable the incompatibility.

[Default]: False",,,Incompatibilities
,,,,,,,,
shu_FusionLampCompatibility,Variable Fusion Capacitors Header,Header,Variable Fusion Capacitors,,,,,Incompatibilities
shu_disableAdvancedOpticsIncompatibilityToggle,Incompatibility with Advanced Optics,Boolean,False,,"Set to true to disable the incompatibility.

[Default]: False",,,Incompatibilities
,,,,,,,,
shu_collabHullmodsSFCIncompat,Sindrian Fuel Company,Header,Sindrian Fuel Company Collaboration Hullmods,,,,,Incompatibilities
shu_pspaceStabilizerCompatibility,P-Space Stabilizer,Header,P-Space Stabilizer (Mote Megacondenser),,,,,Incompatibilities
shu_disableSFCAdaptivePhaseCoilsIncompatibilityToggle,Incompatibility with Adaptive Phase Coils,Boolean,False,,"Set to true to disable the incompatibility.

[Default]: False",,,Incompatibilities
shu_disableSFCPhaseAnchorIncompatibilityToggle,Incompatibility with Phase Anchor,Boolean,False,,"Set to true to disable the incompatibility.

[Default]: False",,,Incompatibilities
,,,,,,,,
,,,,,,,,
#MALUS TOGGLE,,,,,,,,
shu_disableIncreasedDPAICoresHeader,Armament Support System DP Cost Penalty Toggle Header,Header,Armament Support System Penalty,,,,,Penalties
shu_disableIncreasedDPAICoresToggle,Armament Support System DP Cost Penalty,Boolean,False,,"Set this to true to disable the increased deployment cost penalty of all Armament Support System hullmods.

[Default]: False",,,Penalties
,,,,,,,,
shu_disableOverloadDurationHypershuntHeader,Flux Hypershunt Overload Duration Penalty Toggle Header,Header,Flux Hypershunt Penalty,,,,,Penalties
shu_disableOverloadDurationHypershuntToggle,Flux Hypershunt Overload Duration Penalty,Boolean,False,,"Set this to true to disable the overload duration penalty.

[Default]: False",,,Penalties
,,,,,,,,
,,,,,,,,
#DISABLE HULLMODS,,,,,,,,
shu_disableAlphaCoreHullmodHeader,Armament Support System (Alpha),Header,Armament Support System (Alpha),,,,,Disable Hullmods
shu_disableAlphaCoreHullmodToggle,Armament Support System (Alpha) Toggle,Boolean,False,,"Armament Support System (Alpha) will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableBetaCoreHullmodHeader,Armament Support System (Beta),Header,Armament Support System (Beta),,,,,Disable Hullmods
shu_disableBetaCoreHullmodToggle,Armament Support System (Beta) Toggle,Boolean,False,,"Armament Support System (Beta) will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableGammaCoreHullmodHeader,Armament Support System (Gamma),Header,Armament Support System (Gamma),,,,,Disable Hullmods
shu_disableGammaCoreHullmodToggle,Armament Support System (Gamma) Toggle,Boolean,False,,"Armament Support System (Gamma) will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableCorruptedNanoforgeHullmodHeader,Arsenal Autoforge (C-Nanoforge),Header,Arsenal Autoforge (C-Nanoforge),,,,,Disable Hullmods
shu_disableCorruptedNanoforgeHullmodToggle,Arsenal Autoforge (C-Nanoforge) Toggle,Boolean,False,,"Arsenal Autoforge (C-Nanoforge) will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disablePristineNanoforgeHullmodHeader,Arsenal Autoforge (P-Nanoforge),Header,Arsenal Autoforge (P-Nanoforge),,,,,Disable Hullmods
shu_disablePristineNanoforgeHullmodToggle,Arsenal Autoforge (P-Nanoforge) Toggle,Boolean,False,,"Arsenal Autoforge (P-Nanoforge) will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableBiofactoryHullmodHeader,Biologic Commodity Replicator,Header,Biologic Commodity Replicator,,,,,Disable Hullmods
shu_disableBiofactoryHullmodToggle,Biologic Commodity Replicator Toggle,Boolean,False,,"Biologic Commodity Replicator will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableDroneReplicatorHullmodHeader,Expanded Fighter Manufactory,Header,Expanded Fighter Manufactory,,,,,Disable Hullmods
shu_disableDroneReplicatorHullmodToggle,Expanded Fighter Manufactory Toggle,Boolean,False,,"Expanded Fighter Manufactory will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableDealmakerHolosuiteHullmodHeader,Fleet Tactical Relay,Header,Fleet Tactical Relay,,,,,Disable Hullmods
shu_disableDealmakerHolosuiteHullmodToggle,Fleet Tactical Relay Toggle,Boolean,False,,"Fleet Tactical Relay will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableHypershuntTapHullmodHeader,Flux Hypershunt,Header,Flux Hypershunt,,,,,Disable Hullmods
shu_disableHypershuntTapHullmodToggle,Flux Hypershunt Toggle,Boolean,False,,"Flux Hypershunt will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableMantleBoreHullmodHeader,High-Throttled Weapon Torque,Header,High-Throttled Weapon Torque,,,,,Disable Hullmods
shu_disableMantleBoreHullmodToggle,High-Throttled Weapon Torque Toggle,Boolean,False,,"High-Throttled Weapon Torque will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableCatalyticCoreHullmodHeader,Maintenance Optimizer,Header,Maintenance Optimizer,,,,,Disable Hullmods
shu_disableCatalyticCoreHullmodToggle,Maintenance Optimizer Toggle,Boolean,False,,"Maintenance Optimizer will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableSoilNaniteHullmodHeader,Nanite Swarm Cluster,Header,Nanite Swarm Cluster,,,,,Disable Hullmods
shu_disableSoilNaniteHullmodToggle,Nanite Swarm Cluster Toggle,Boolean,False,,"Nanite Swarm Cluster will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableFullereneSpoolHullmodHeader,Orbital Filament Anchor,Header,Orbital Filament Anchor,,,,,Disable Hullmods
shu_disableFullereneSpoolHullmodToggle,Orbital Filament Anchor Toggle,Boolean,False,,"Orbital Filament Anchor will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disablePlasmaDynamoHullmodHeader,Plasma-Charged Shield Emitter,Header,Plasma-Charged Shield Emitter,,,,,Disable Hullmods
shu_disablePlasmaDynamoHullmodToggle,Plasma-Charged Shield Emitter Toggle,Boolean,False,,"Plasma-Charged Shield Emitter will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableCryoarithmeticEngineHullmodHeader,Quantum Heatsink,Header,Quantum Heatsink,,,,,Disable Hullmods
shu_disableCryoarithmeticEngineHullmodToggle,Quantum Heatsink Toggle,Boolean,False,,"Quantum Heatsink will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableSynchrotonCoreHullmodHeader,Synchro-Fuel Loader,Header,Synchro-Fuel Loader,,,,,Disable Hullmods
shu_disableSynchrotonCoreHullmodToggle,Synchro-Fuel Loader Toggle,Boolean,False,,"Synchro-Fuel Loader will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
shu_disableFusionLampReactorHullmodHeader,Variable Fusion Capacitors,Header,Variable Fusion Capacitors,,,,,Disable Hullmods
shu_disableFusionLampReactorHullmodToggle,Variable Fusion Capacitors Toggle,Boolean,False,,"Variable Fusion Capacitors will be disabled if set to true.

[Default]: False",,,Disable Hullmods
,,,,,,,,
